Timestamp,EAR,Event
2026-05-31 01:37:48,0.052,Drowsiness Detected
2026-05-31 21:47:45,0.061,Drowsiness Detected
2026-05-31 21:47:50,0.058,Drowsiness Detected
2026-06-01 00:22:15,0.27,Yawn Detected
2026-06-01 00:22:20,0.289,Yawn Detected
2026-06-01 00:22:33,0.318,Yawn Detected
2026-06-01 00:22:38,0.09,Drowsiness Detected
2026-06-01 01:00:44,0.299,Yawn Detected
2026-06-04 22:45:48,0.179,Drowsiness Detected
2026-06-04 22:45:54,0.099,Drowsiness Detected
2026-06-04 22:46:03,0.299,Yawn Detected
2026-06-04 22:46:08,0.128,Drowsiness Detected
2026-06-04 22:46:18,0.139,Drowsiness Detected
2026-06-04 22:46:23,0.166,Drowsiness Detected
2026-06-04 22:46:44,0.164,Drowsiness Detected
2026-06-04 22:46:57,0.13,Drowsiness Detected
2026-06-04 22:47:02,0.187,Drowsiness Detected
2026-06-04 23:49:02,0.152,Drowsiness Detected
2026-06-04 23:49:09,0.102,Drowsiness Detected
2026-07-08 14:24:28,0.088,Drowsiness Detected
2026-07-08 14:38:14,0.102,Drowsiness Detected
2026-07-08 14:43:46,0.164,Drowsiness Detected
2026-07-08 14:46:39,0.325,Yawn Detected
2026-07-08 14:55:30,0.315,Yawn Detected
2026-07-08 14:55:35,0.093,Drowsiness Detected
2026-07-08 15:04:09,0.13,Drowsiness Detected
2026-07-08 15:06:37,0.166,Drowsiness Detected
2026-07-08 15:06:42,0.166,Drowsiness Detected
2026-07-08 15:41:03,0.348,Yawn Detected
2026-07-08 15:41:04,0.321,Yawn Detected
2026-07-08 15:41:08,0.104,Drowsiness Detected
2026-07-08 15:41:15,0.339,Yawn Detected
2026-07-08 16:07:36,0.102,Drowsiness Detected
2026-07-15 20:42:18,0.358,Yawn Detected
2026-07-15 20:42:22,0.065,Drowsiness Detected
2026-07-15 20:42:46,0.105,Drowsiness Detected
2026-07-15 20:43:58,0.096,Drowsiness Detected
2026-07-15 20:44:03,0.083,Drowsiness Detected
2026-07-15 21:13:29,0.356,Yawn Detected
2026-07-15 21:13:32,0.07,Drowsiness Detected
2026-07-16 14:20:05,0.104,Drowsiness Detected
2026-07-16 15:21:47,0.321,Yawn Detected
2026-07-16 15:23:53,0.3,Yawn Detected
2026-07-16 15:25:01,0.047,Drowsiness Detected
2026-07-16 19:20:23,0.083,Drowsiness Detected
2026-07-16 19:20:51,0.133,Drowsiness Detected
2026-07-16 19:28:05,0.142,Drowsiness Detected
2026-07-16 19:31:18,0.18,Drowsiness Detected
2026-07-16 21:02:27,0.063,Drowsiness Detected
2026-07-16 21:19:18,0.172,Drowsiness Detected
2026-07-16 21:19:33,0.286,Yawn Detected
2026-07-16 21:19:38,0.091,Drowsiness Detected
2026-07-16 21:19:44,0.152,Drowsiness Detected
2026-07-16 21:19:49,0.087,Drowsiness Detected
2026-07-16 21:19:55,0.165,Drowsiness Detected
2026-07-17 09:37:40,0.352,Yawn Detected
2026-07-17 09:37:46,0.761,Yawn Detected
2026-07-17 09:37:55,0.272,Yawn Detected
2026-07-17 09:38:01,0.265,Yawn Detected
2026-07-17 09:38:03,0.269,Yawn Detected
2026-07-17 09:38:04,0.283,Yawn Detected
2026-07-17 09:38:05,0.282,Yawn Detected
2026-07-17 09:38:07,0.05,Drowsiness Detected
2026-07-17 09:38:15,0.082,Drowsiness Detected
